,Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate,mid_iv
19,56768.29,0.2268,2024-07-10 02:22:14,55.14,0.23,49.89,0.2245,0.85941,-19.41687,2e-05,59.05394,78.00104,52.13,BTC,2024-09-27,45000.0,Call,12875.048172,0.2165984368863843,0.0523694752512763,52.515
20,57775.36,0.1875,2024-07-10 02:22:14,59.28,0.19,57.32,0.185,0.64386,-25.17541,2e-05,147.07827,123.00979,58.29,BTC,2024-12-27,54000.0,Call,10832.88,0.4652323166678051,0.0511209679429557,58.3
21,56575.1,0.2158,2024-07-10 02:22:14,56.49,0.218,49.13,0.213,0.89298,-20.37857,2e-05,39.09149,53.81931,53.46,BTC,2024-08-30,45000.0,Call,12208.90658,0.1400957046459471,0.0524821244160397,52.81
22,56910.96,0.0326,2024-07-10 02:22:14,49.86,0.0335,48.06,0.032,0.44728,-71.20823,7e-05,47.52523,10.52394,48.77,BTC,2024-07-26,58000.0,Call,1855.297296,0.0444672893454007,0.052357807476149,48.96
24,56768.0,0.2434,2024-07-10 02:22:14,0.0,0.0,54.66,0.2435,0.87053,-19.21012,1e-05,55.80922,77.32159,54.58,BTC,2024-09-27,44000.0,Call,13817.3312,0.2165984368863843,0.0523694752512763,27.33
25,57775.36,0.0763,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.33436,-26.27922,1e-05,143.96457,69.86444,62.43,BTC,2024-12-27,76000.0,Call,4408.259968,0.4652323166678051,0.0511209679429557,62.43
26,57775.36,0.6538,2024-07-10 02:22:14,0.0,0.64,0.0,0.0,1.0,0.0,0.0,0.0,93.30251,0.1,BTC,2024-12-27,20000.0,Call,37773.530368,0.4652323166678051,0.0511209679429557,0.1
27,56574.5,0.0496,2024-07-10 02:22:14,50.08,0.0505,49.05,0.049,0.41124,-39.79054,4e-05,82.4934,28.7428,49.47,BTC,2024-08-30,60000.0,Call,2806.0952,0.1400957046459471,0.0524821244160397,49.565
33,59312.28,0.059,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.23142,-19.39859,1e-05,153.11729,73.39533,66.39,BTC,2025-03-28,105000.0,Call,3499.42452,0.7138661964492258,0.0495312563427249,66.39
35,57775.68,0.0057,2024-07-10 02:22:14,73.68,0.0065,70.81,0.005,0.03457,-6.40285,0.0,30.18298,7.77557,72.24,BTC,2024-12-27,160000.0,Call,329.321376,0.4652323166678051,0.0511209679429557,72.245
36,56768.08,0.0025,2024-07-10 02:22:14,63.0,0.0026,61.08,0.0021,0.02514,-6.14512,0.0,15.53446,2.78851,62.72,BTC,2024-09-27,105000.0,Call,141.9202,0.2165984368863843,0.0523694752512763,62.04
37,60398.45,0.2407,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.59775,-22.12288,1e-05,229.81431,208.55312,67.96,BTC,2025-06-27,64000.0,Call,14537.906915,0.9625000762306466,0.0479399995121238,67.96
40,60398.45,0.0346,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.12959,-12.64008,0.0,125.37702,55.48868,71.18,BTC,2025-06-27,170000.0,Call,2089.78637,0.9625000762306466,0.0479399995121238,71.18
46,56768.21,0.4384,2024-07-10 02:22:14,74.18,0.4415,0.0,0.436,0.98223,-4.59648,0.0,11.58625,67.05386,62.9,BTC,2024-09-27,32000.0,Call,24887.183264,0.2165984368863843,0.0523694752512763,37.09
49,57776.88,0.0837,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.35797,-27.00784,2e-05,147.66451,74.25115,62.56,BTC,2024-12-27,74000.0,Call,4835.924856,0.4652323166678051,0.0511209679429557,62.56
50,57203.57,0.0007,2024-07-10 02:22:14,226.52,0.0755,0.0,0.0,0.02048,-13.67108,1e-05,4.50575,0.28825,56.3,BTC,2024-07-19,69000.0,Call,40.042499,0.0253416062852914,0.0523329440881708,113.26
51,56574.52,0.0061,2024-07-10 02:22:14,54.64,0.006,52.15,0.0048,0.0718,-15.49599,1e-05,29.03148,5.22541,54.74,BTC,2024-08-30,78000.0,Call,345.104572,0.1400957046459471,0.0524821244160397,53.394999999999996
52,56911.84,0.0001,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.00285,-2.57075,0.0,1.07324,0.07178,81.49,BTC,2024-07-26,94000.0,Call,5.691184,0.0444672893454007,0.052357807476149,81.49
55,57202.99,0.0004,2024-07-10 02:22:14,265.16,0.0905,0.0,0.0,0.01164,-8.75173,1e-05,2.77387,0.16393,58.54,BTC,2024-07-19,71000.0,Call,22.881196,0.0253416062852914,0.0523329440881708,132.58
56,57776.43,0.4559,2024-07-10 02:22:14,63.77,0.459,55.04,0.453,0.95113,-6.98958,0.0,39.96681,133.48645,59.56,BTC,2024-12-27,32000.0,Call,26340.274437,0.4652323166678051,0.0511209679429557,59.405
62,56768.21,0.009,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.08125,-14.46577,1e-05,39.97905,8.98818,57.9,BTC,2024-09-27,86000.0,Call,510.91389,0.2165984368863843,0.0523694752512763,57.9
63,56844.376,0.4723,2024-07-10 02:22:14,0.0,0.0,0.0,0.005,0.99943,-0.47917,0.0,0.29119,19.7116,79.02,BTC,2024-08-02,30000.0,Call,26847.5987848,0.06359297240551,0.0523826708641271,79.02
64,57776.43,0.2239,2024-07-10 02:22:14,59.4,0.2265,57.04,0.221,0.71299,-23.01143,1e-05,134.42314,131.81601,58.3,BTC,2024-12-27,50000.0,Call,12936.142677,0.4652323166678051,0.0511209679429557,58.22
65,56768.21,0.025,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.19245,-25.68881,2e-05,72.69433,20.83965,56.55,BTC,2024-09-27,74000.0,Call,1419.20525,0.2165984368863843,0.0523694752512763,56.55
66,57776.43,0.4253,2024-07-10 02:22:14,61.85,0.4275,54.73,0.4215,0.93452,-8.7722,1e-05,50.32065,137.26314,59.37,BTC,2024-12-27,34000.0,Call,24572.315679,0.4652323166678051,0.0511209679429557,58.29
67,57776.43,0.3392,2024-07-10 02:22:14,60.23,0.342,56.44,0.3365,0.86918,-14.35281,1e-05,83.84305,142.85954,58.3,BTC,2024-12-27,40000.0,Call,19597.765056,0.4652323166678051,0.0511209679429557,58.334999999999994
68,57776.43,0.0586,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.27304,-24.04952,1e-05,131.49135,58.0413,62.55,BTC,2024-12-27,82000.0,Call,3385.698798,0.4652323166678051,0.0511209679429557,62.55
69,57689.19,0.024,2024-07-10 02:22:14,199.28,0.0685,50.5,0.0225,0.6167,-211.43117,0.00015,17.39202,2.13262,55.35,BTC,2024-07-12,57000.0,Call,1384.54056,0.0062159232251821,0.0523080807001927,124.89
73,56768.21,0.001,2024-07-10 02:22:14,66.78,0.0012,64.54,0.0009,0.01092,-3.15362,0.0,7.61559,1.21836,65.66,BTC,2024-09-27,120000.0,Call,56.76821,0.2165984368863843,0.0523694752512763,65.66
74,56911.27,0.0015,2024-07-10 02:22:14,53.8,0.0017,51.37,0.0013,0.03528,-15.10028,1e-05,9.34647,0.85737,52.59,BTC,2024-07-26,70000.0,Call,85.366905,0.0444672893454007,0.052357807476149,52.584999999999994
76,56911.27,0.0001,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.00284,-2.67055,0.0,1.07153,0.07151,84.79,BTC,2024-07-26,96000.0,Call,5.691127,0.0444672893454007,0.052357807476149,84.79
81,57654.8237,0.0548,2024-07-10 02:22:14,174.64,0.0575,0.0,0.0,0.9895,-19.65875,2e-05,0.44136,0.40807,89.08,BTC,2024-07-10,54500.0,Call,3159.4843387600004,0.0007514423508652,0.0523009768750561,87.32
82,57672.0069,0.1159,2024-07-10 02:22:14,145.88,0.1185,0.0,0.0,0.98925,-34.69999,1e-05,0.96804,1.76136,91.51,BTC,2024-07-11,51000.0,Call,6684.18559971,0.0034836827880236,0.0523045287876244,72.94
83,56910.18,0.1299,2024-07-10 02:22:14,61.26,0.1315,49.51,0.1265,0.86933,-45.23013,3e-05,25.5141,18.76624,57.71,BTC,2024-07-26,50000.0,Call,7392.632382,0.0444672893454007,0.052357807476149,55.385
90,56765.67,0.1191,2024-07-10 02:22:14,52.04,0.1205,50.05,0.117,0.62878,-32.29516,3e-05,99.99443,62.84746,51.21,BTC,2024-09-27,54000.0,Call,6760.791297,0.2165984368863843,0.0523694752512763,51.045
91,59309.67,0.0192,2024-07-10 02:22:14,71.66,0.0205,69.8,0.018,0.08687,-10.73601,0.0,79.36414,28.73962,70.69,BTC,2025-03-28,160000.0,Call,1138.7456639999998,0.7138661964492258,0.0495312563427249,70.72999999999999
93,57774.66,0.094,2024-07-10 02:22:14,60.29,0.0935,59.53,0.0915,0.39815,-27.04045,2e-05,152.26842,81.98039,60.48,BTC,2024-12-27,70000.0,Call,5430.81804,0.4652323166678051,0.0511209679429557,59.91
95,56570.66,0.0014,2024-07-10 02:22:14,59.14,0.0014,56.54,0.001,0.01881,-5.62777,0.0,9.74335,1.38208,59.24,BTC,2024-08-30,92000.0,Call,79.198924,0.1400957046459471,0.0524821244160397,57.84
96,57668.96,0.0038,2024-07-10 02:22:14,51.8,0.0041,47.84,0.0034,0.22609,-202.2048,0.00018,10.25582,0.44821,50.33,BTC,2024-07-11,59000.0,Call,219.142048,0.0034836827880236,0.0523045287876244,49.82
97,60396.47,0.5324,2024-07-10 02:22:14,66.1,0.535,58.82,0.525,0.92268,-7.84725,0.0,85.96074,227.48326,64.32,BTC,2025-06-27,30000.0,Call,32155.080628,0.9625000762306466,0.0479399995121238,62.459999999999994
98,56766.24,0.0004,2024-07-10 02:22:14,72.38,0.0006,65.19,0.0002,0.00396,-1.34722,0.0,3.10556,0.44385,68.79,BTC,2024-09-27,140000.0,Call,22.706496,0.2165984368863843,0.0523694752512763,68.785
100,57775.64,0.2463,2024-07-10 02:22:14,0.0,0.0,59.36,0.2465,0.74548,-22.02802,1e-05,126.58917,134.54914,59.26,BTC,2024-12-27,48000.0,Call,14230.140132,0.4652323166678051,0.0511209679429557,29.68
101,56842.364,0.0065,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.07272,-35.73594,1e-05,20.1553,2.47569,85.14,BTC,2024-08-02,80000.0,Call,369.475366,0.06359297240551,0.0523826708641271,85.14
105,56571.27,0.0002,2024-07-10 02:22:14,71.74,0.0003,65.04,0.0001,0.00221,-0.96811,0.0,1.47228,0.16351,67.47,BTC,2024-08-30,120000.0,Call,11.314254,0.1400957046459471,0.0524821244160397,68.39
110,56571.37,0.0556,2024-07-10 02:22:14,49.87,0.0565,48.85,0.055,0.44611,-40.24128,4e-05,83.81821,31.03865,49.24,BTC,2024-08-30,59000.0,Call,3145.368172,0.1400957046459471,0.0524821244160397,49.36
111,57686.1,0.0137,2024-07-10 02:22:14,54.08,0.0145,49.29,0.013,0.45512,-204.75176,0.00017,18.05918,1.58798,51.62,BTC,2024-07-12,58000.0,Call,790.29957,0.0062159232251821,0.0523080807001927,51.685
112,57686.1,0.0001,2024-07-10 02:22:14,111.36,0.0003,98.31,0.0001,0.00483,-6.78449,0.0,0.63954,0.01699,100.0,BTC,2024-07-12,71000.0,Call,5.76861,0.0062159232251821,0.0523080807001927,104.83500000000001
119,57686.13,0.1335,2024-07-10 02:22:14,122.37,0.136,0.0,0.0,0.98754,-26.45574,1e-05,1.47026,3.07248,81.92,BTC,2024-07-12,50000.0,Call,7701.098355,0.0062159232251821,0.0523080807001927,61.185
125,57777.81,0.2772,2024-07-10 02:22:14,59.49,0.2795,56.64,0.274,0.79582,-19.14963,1e-05,111.85893,139.78888,58.3,BTC,2024-12-27,45000.0,Call,16016.008932,0.4652323166678051,0.0511209679429557,58.065
128,56912.71,0.0029,2024-07-10 02:22:14,50.64,0.0032,48.8,0.0027,0.06663,-23.72921,2e-05,15.53359,1.61618,49.73,BTC,2024-07-26,67000.0,Call,165.04685899999998,0.0444672893454007,0.052357807476149,49.72
130,57653.6184,0.0026,2024-07-10 02:22:14,47.72,0.0028,39.51,0.002,0.3184,-128.79729,0.00049,5.67581,0.13858,45.38,BTC,2024-07-10,58000.0,Call,149.89940783999998,0.0007514423508652,0.0523009768750561,43.614999999999995
131,56843.278,0.0802,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.56875,-85.29243,4e-05,57.29581,18.26932,71.48,BTC,2024-08-02,56000.0,Call,4558.830895599999,0.06359297240551,0.0523826708641271,71.48
133,59312.77,0.0463,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.18898,-17.38935,1e-05,135.91992,60.73846,67.04,BTC,2025-03-28,115000.0,Call,2746.181251,0.7138661964492258,0.0495312563427249,67.04
140,56574.72,0.0878,2024-07-10 02:22:14,50.09,0.0885,48.72,0.0865,0.59668,-39.72336,4e-05,82.09835,40.44411,49.62,BTC,2024-08-30,55000.0,Call,4967.260416,0.1400957046459471,0.0524821244160397,49.405
141,56574.72,0.021,2024-07-10 02:22:14,50.61,0.021,49.69,0.02,0.2128,-30.39508,3e-05,61.58975,15.24471,50.61,BTC,2024-08-30,67000.0,Call,1188.06912,0.1400957046459471,0.0524821244160397,50.15
142,56768.31,0.7359,2024-07-10 02:22:14,142.39,0.7385,0.0,0.705,0.999,-0.56431,0.0,0.89475,32.43783,100.0,BTC,2024-09-27,15000.0,Call,41775.799329,0.2165984368863843,0.0523694752512763,71.195
143,56768.31,0.1614,2024-07-10 02:22:14,52.73,0.1635,49.74,0.159,0.74212,-27.6932,2e-05,85.45408,71.5943,51.38,BTC,2024-09-27,50000.0,Call,9162.405234,0.2165984368863843,0.0523694752512763,51.235
146,56913.51,0.2124,2024-07-10 02:22:14,80.21,0.215,44.67,0.2095,0.9517,-25.9482,1e-05,12.05715,18.76128,70.06,BTC,2024-07-26,45000.0,Call,12088.429524,0.0444672893454007,0.052357807476149,62.44
148,60398.57,0.3238,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.71249,-19.91252,1e-05,202.49933,227.02443,69.43,BTC,2025-06-27,52000.0,Call,19557.056966,0.9625000762306466,0.0479399995121238,69.43
150,57654.3335,0.0201,2024-07-10 02:22:14,70.56,0.0215,0.0,0.02,0.97468,-17.66549,0.0001,0.93709,0.41674,37.7,BTC,2024-07-10,56500.0,Call,1158.85210335,0.0007514423508652,0.0523009768750561,35.28
151,56574.72,0.0017,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.02029,-6.49597,0.0,10.4659,1.49998,64.56,BTC,2024-08-30,96000.0,Call,96.177024,0.1400957046459471,0.0524821244160397,64.56
152,57204.43,0.0067,2024-07-10 02:22:14,50.55,0.007,47.99,0.006,0.16559,-61.05352,5e-05,22.68991,2.30926,49.92,BTC,2024-07-19,62000.0,Call,383.269681,0.0253416062852914,0.0523329440881708,49.269999999999996
153,57779.0,0.7408,2024-07-10 02:22:14,100.47,0.7435,0.0,0.0,0.99758,-0.67543,0.0,2.97462,69.20516,77.33,BTC,2024-12-27,15000.0,Call,42802.6832,0.4652323166678051,0.0511209679429557,50.235
154,59312.74,0.313,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.74399,-20.90405,1e-05,161.70109,183.50298,67.74,BTC,2025-03-28,48000.0,Call,18564.88762,0.7138661964492258,0.0495312563427249,67.74
155,60398.58,0.1079,2024-07-10 02:22:14,0.0,0.0,69.86,0.115,0.33638,-20.86591,1e-05,216.51838,133.17772,67.9,BTC,2025-06-27,100000.0,Call,6517.006782,0.9625000762306466,0.0479399995121238,34.93
159,57204.43,0.0255,2024-07-10 02:22:14,50.73,0.026,48.35,0.0245,0.4467,-96.89341,9e-05,36.0592,6.12519,49.86,BTC,2024-07-19,58000.0,Call,1458.712965,0.0253416062852914,0.0523329440881708,49.54
161,57779.18,0.8269,2024-07-10 02:22:14,0.0,0.812,0.0,0.0,1.0,0.0,0.0,0.0,46.65221,0.1,BTC,2024-12-27,10000.0,Call,47777.603942,0.4652323166678051,0.0511209679429557,0.1
162,57779.18,0.1572,2024-07-10 02:22:14,59.34,0.159,57.85,0.155,0.57565,-26.62603,2e-05,154.59976,112.80402,58.65,BTC,2024-12-27,58000.0,Call,9082.887096,0.4652323166678051,0.0511209679429557,58.595
165,56768.44,0.0002,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.0017,-0.68718,0.0,1.45736,0.19243,75.45,BTC,2024-09-27,170000.0,Call,11.353688000000002,0.2165984368863843,0.0523694752512763,75.45
166,60398.85,0.3195,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.69612,-21.29942,1e-05,207.72023,220.00507,72.39,BTC,2025-06-27,54000.0,Call,19297.432575,0.9625000762306466,0.0479399995121238,72.39
167,58250.92,0.1991,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.58386,-30.50347,1e-05,167.78952,122.19637,72.36,BTC,2025-01-24,60000.0,Call,11597.758172,0.5417350489082422,0.0506328956869872,72.36
168,56845.786,0.0345,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.30536,-81.05631,3e-05,51.09578,10.12838,76.18,BTC,2024-08-02,64000.0,Call,1961.179617,0.06359297240551,0.0523826708641271,76.18
169,57779.18,0.1318,2024-07-10 02:22:14,59.74,0.1335,58.46,0.13,0.51084,-27.3136,2e-05,157.38079,102.17957,59.1,BTC,2024-12-27,62000.0,Call,7615.295924,0.4652323166678051,0.0511209679429557,59.1
170,56845.786,0.1725,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.84183,-53.19538,2e-05,35.20759,25.02995,72.55,BTC,2024-08-02,48000.0,Call,9805.898085,0.06359297240551,0.0523826708641271,72.55
171,56574.9,0.1194,2024-07-10 02:22:14,51.03,0.1205,48.31,0.117,0.70632,-35.69626,3e-05,73.01296,46.6511,50.14,BTC,2024-08-30,52000.0,Call,6755.043060000001,0.1400957046459471,0.0524821244160397,49.67
173,56768.36,0.0537,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.36074,-33.19637,3e-05,99.36432,38.10044,53.31,BTC,2024-09-27,64000.0,Call,3048.460932,0.2165984368863843,0.0523694752512763,53.31
176,56845.786,0.045,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.40726,-77.73247,4e-05,56.5854,13.54487,65.97,BTC,2024-08-02,60000.0,Call,2558.06037,0.06359297240551,0.0523826708641271,65.97
177,56913.37,0.3678,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.99489,-4.56688,0.0,1.81273,16.63265,85.71,BTC,2024-07-26,36000.0,Call,20932.737486,0.0444672893454007,0.052357807476149,85.71
178,56574.53,0.0001,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.00171,-0.81142,0.0,1.17312,0.12766,71.95,BTC,2024-08-30,130000.0,Call,5.657453,0.1400957046459471,0.0524821244160397,71.95
180,56574.53,0.063,2024-07-10 02:22:14,50.23,0.064,48.55,0.0615,0.48366,-40.86938,4e-05,84.52321,33.42951,49.59,BTC,2024-08-30,58000.0,Call,3564.19539,0.1400957046459471,0.0524821244160397,49.39
182,59313.21,0.1063,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.37285,-23.30152,1e-05,190.12809,113.37169,64.17,BTC,2025-03-28,82000.0,Call,6304.994223000001,0.7138661964492258,0.0495312563427249,64.17
184,57654.2333,0.0981,2024-07-10 02:22:14,250.49,0.1,0.0,0.098,0.99988,-0.37812,0.0,0.00738,0.39371,102.45,BTC,2024-07-10,52000.0,Call,5655.88028673,0.0007514423508652,0.0523009768750561,125.245
189,57654.0586,0.0375,2024-07-10 02:22:14,131.07,0.04,0.0,0.037,0.98449,-19.91192,4e-05,0.61742,0.41241,64.5,BTC,2024-07-10,55500.0,Call,2162.0271975,0.0007514423508652,0.0523009768750561,65.535
190,56574.85,0.0311,2024-07-10 02:22:14,50.4,0.031,49.22,0.0295,0.28884,-35.67828,3e-05,72.44959,20.48274,50.5,BTC,2024-08-30,64000.0,Call,1759.477835,0.1400957046459471,0.0524821244160397,49.81
191,57205.05,0.2148,2024-07-10 02:22:14,388.61,0.3395,0.0,0.0,0.97172,-26.02811,1e-05,5.90874,11.00557,81.74,BTC,2024-07-19,45000.0,Call,12287.64474,0.0253416062852914,0.0523329440881708,194.305
198,56913.91,0.1954,2024-07-10 02:22:14,76.15,0.198,49.67,0.1925,0.9428,-28.3172,1e-05,13.78934,18.96855,66.85,BTC,2024-07-26,46000.0,Call,11120.978014,0.0444672893454007,0.052357807476149,62.910000000000004
199,58251.6254,0.744,2024-07-10 02:22:14,0.0,0.0,0.0,0.005,0.99376,-1.59667,0.0,7.56928,79.31832,83.96,BTC,2025-01-24,15000.0,Call,43339.2092976,0.5417350489082422,0.0506328956869872,83.96
200,56574.66,0.0066,2024-07-10 02:22:14,53.92,0.0065,52.0,0.0055,0.07766,-16.23753,1e-05,30.82318,5.65125,54.03,BTC,2024-08-30,77000.0,Call,373.392756,0.1400957046459471,0.0524821244160397,52.96
202,56768.47,0.0003,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.00293,-1.05991,0.0,2.38079,0.33097,71.11,BTC,2024-09-27,150000.0,Call,17.030541,0.2165984368863843,0.0523694752512763,71.11
204,56768.47,0.1413,2024-07-10 02:22:14,0.0,0.0,52.7,0.1415,0.68456,-31.19668,3e-05,94.03906,66.97783,52.6,BTC,2024-09-27,52000.0,Call,8021.384811000001,0.2165984368863843,0.0523694752512763,26.35
210,59312.04,0.1778,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.5213,-26.13003,1e-05,200.10479,146.10999,68.37,BTC,2025-03-28,68000.0,Call,10545.680712,0.7138661964492258,0.0495312563427249,68.37
213,58251.6977,0.485,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,163.56963,0.1,BTC,2025-01-24,30000.0,Call,28252.0733845,0.5417350489082422,0.0506328956869872,0.1
214,57779.01,0.1434,2024-07-10 02:22:14,59.65,0.146,58.17,0.142,0.54233,-26.97767,2e-05,156.55126,107.53474,58.69,BTC,2024-12-27,60000.0,Call,8285.510034,0.4652323166678051,0.0511209679429557,58.91
217,59312.04,0.2157,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.57448,-27.53762,1e-05,196.97334,152.7745,73.26,BTC,2025-03-28,64000.0,Call,12793.607028,0.7138661964492258,0.0495312563427249,73.26
218,56768.33,0.5429,2024-07-10 02:22:14,88.07,0.545,0.0,0.0,0.99291,-2.41517,0.0,5.21432,55.48852,73.44,BTC,2024-09-27,26000.0,Call,30819.526357,0.2165984368863843,0.0523694752512763,44.035
219,57685.75,0.2199,2024-07-10 02:22:14,417.02,0.2575,0.0,0.0,0.99986,-0.48847,0.0,0.0254,2.80598,87.57,BTC,2024-07-12,45000.0,Call,12685.096425000002,0.0062159232251821,0.0523080807001927,208.51
220,56573.21,0.0015,2024-07-10 02:22:14,60.39,0.0011,57.07,0.0007,0.01893,-6.02072,0.0,9.79863,1.3845,63.02,BTC,2024-08-30,95000.0,Call,84.859815,0.1400957046459471,0.0524821244160397,58.730000000000004
221,58250.98,0.0811,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.33055,-24.97244,1e-05,155.87339,79.21662,63.77,BTC,2025-01-24,80000.0,Call,4724.154478,0.5417350489082422,0.0506328956869872,63.77
222,59311.45,0.0162,2024-07-10 02:22:14,120.57,0.125,58.59,0.005,0.07467,-9.64278,0.0,70.89471,24.88428,71.27,BTC,2025-03-28,170000.0,Call,960.84549,0.7138661964492258,0.0495312563427249,89.58
223,60398.42,0.1402,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.42017,-21.2492,1e-05,232.20431,163.57239,64.61,BTC,2025-06-27,84000.0,Call,8467.858483999998,0.9625000762306466,0.0479399995121238,64.61
225,57203.78,0.1142,2024-07-10 02:22:14,69.29,0.1165,52.36,0.1115,0.88649,-58.75662,3e-05,17.53668,11.2275,62.16,BTC,2024-07-19,51000.0,Call,6532.671676,0.0253416062852914,0.0523329440881708,60.825
233,56912.3,0.0007,2024-07-10 02:22:14,58.01,0.0008,54.4,0.0005,0.01675,-8.73862,1e-05,5.00218,0.40738,56.87,BTC,2024-07-26,74000.0,Call,39.83861,0.0444672893454007,0.052357807476149,56.205
237,57652.822,0.0022,2024-07-10 02:22:14,130.4,0.0135,0.0,0.0,0.4119,-83.4642,0.00091,6.17419,0.17886,27.04,BTC,2024-07-10,57750.0,Call,126.8362084,0.0007514423508652,0.0523009768750561,65.2
238,56912.3,0.0855,2024-07-10 02:22:14,54.66,0.087,48.56,0.083,0.75773,-60.4404,5e-05,37.55266,17.06073,52.39,BTC,2024-07-26,53000.0,Call,4866.001650000001,0.0444672893454007,0.052357807476149,51.61
239,56767.98,0.0603,2024-07-10 02:22:14,51.79,0.061,0.0,0.0,0.40206,-33.1968,3e-05,102.34813,42.13335,51.43,BTC,2024-09-27,62000.0,Call,3423.109194,0.2165984368863843,0.0523694752512763,25.895
